"claim_id","claim","source_domains","report_coverage","original_study","author_year","country","population","age_range","sample_size","topic_domain","research_design","predictor_iv","outcome_dv","effect_size","direction","confidence","limitations","causal","replicated","indonesia_specific","male_specific","wording_manipulated","evidence_concerns","evidence_category","mechanism_cluster","male_specificity_class"
"C001","Endorsement of traditional masculinity is associated with less favourable attitudes to psychological help-seeking and greater self-stigma.","D1;D2;D5;D7","4","Uzumceker meta-analysis","Uzumceker (2025)","Multinational (mostly non-Indonesian)","Adult men","Adult","35 samples","Masculinity & help-seeking","Meta-analysis of correlational studies","Traditional masculinity ideology","Help-seeking attitudes; self-stigma","r=-.379 (attitudes); r=+.351 (self-stigma); GRC r=-.211 / +.300","Negative for help-seeking","STRONG (association)","Correlational; does not test any wording; Global-North-weighted samples","No","Yes (converges with Wong 2017)","No","Yes (about men only; no cross-gender comparison)","No","attitude;self-stigma","B","IDENTITY-THREAT;STIGMA","SOCIAL-CONTEXT"
"C002","Masculine norms are multidimensional; self-reliance, power over women and playboy norms relate most adversely to mental health and help-seeking, while primacy of work does not.","D2;D3;D7","3","Wong et al. conformity to masculine norms meta-analysis","Wong et al. (2017)","Multinational","Men","Adult","78 samples; N=19,453","Masculinity & help-seeking","Meta-analysis","CMNI subscales","Mental health; help-seeking","Overall unfavourable r<=.19 (<5% shared variance); norm-specific variation","Negative overall; varies by norm","STRONG","Small overall effect; correlational; masculinity does not 'cause' mental illness","No","Yes","No","Yes","No","attitude;clinical outcome","B","IDENTITY-THREAT;AUTONOMY","SOCIAL-CONTEXT"
"C003","Average adult sex differences in broad language dimensions (talkativeness, assertiveness, affiliative speech) are small.","D1","1","Leaper & Ayres meta-analysis","Leaper & Ayres (2007)","Mostly Western","Adult mixed-sex samples","Adult","Multiple samples","Male communication","Meta-analysis","Sex","Talkativeness; assertive speech; affiliative speech","d=-.14; d=.09; d=.12","Tiny; context-dependent","STRONG (for rejecting large differences)","Older literature; contexts aggregated","No","Yes","No","Yes (sex comparison)","No","observed usage","B","(none - null finding)","MALE-DIFFERENTIATED (but trivially small)"
"C004","Everyday talkativeness differences by sex appear only in some life stages and disappear in others.","D1","1","Tidwell et al. naturalistic EAR registered report","Tidwell et al. (2025)","Mostly Western","Ages 10-94","10-94","N>2,000","Male communication","Naturalistic observation (registered report)","Age band x sex","Words spoken per day","Women aged 25-64 ~3,000 more words/day; no notable gap in younger and older bands","Age-conditional","MODERATE-STRONG","Binary sex categories; word quantity is not communication style","No","No (single large study)","No","Yes","No","observed usage","B","(none - moderator finding)","MALE-DIFFERENTIATED (age-conditional)"
"C005","Roughly 78% of documented psychological gender differences fall in the close-to-zero or small range.","D1","1","Hyde Gender Similarities Hypothesis","Hyde (2005; 2014)","Mostly US/Global North","General population","All","Meta-synthesis of 46 meta-analyses","Male communication","Meta-synthesis","Sex","Cognitive, social, communicative traits","78% of effects d<=0.35; verbal ability near zero","Similarity dominates","STRONG","Cannot capture micro-pragmatic conversational nuance","No","Yes","No","Yes","No","observed usage","B","(none - null finding)","GENERAL"
"C006","Men report preferring coded or colloquial everyday language for entering mental-health topics alongside dynamic action/growth framing.","D1","1","Sharp et al. qualitative study","Sharp et al. (2024/2025)","UK/Anglophone","Men","Adult","N=64 (5 focus groups + 21 interviews)","Male communication","Qualitative (thematic)","Preferred mental-health language","Stated preference","Three inductive themes: coded language; masculine metaphor; dynamism/action/growth","Preference for indirect entry + direct action","MODERATE (for preference only)","Qualitative; no behavioural comparison; preference != effectiveness","No","No","No","Yes (men-only sample; no comparison group)","No","preference","C","EMOTIONAL EXPOSURE COST;AGENCY","SOCIAL-CONTEXT"
"C007","Working-class men's masculinities can support rather than only suppress disclosure when help-seeking is integrated into their own construction of responsible manhood.","D2","1","Working-class male help-seeking qualitative literature","(multiple, 2020s)","UK/Anglophone","Working-class men","Adult","Multiple qualitative studies","Male communication","Qualitative","Masculinity construction","Disclosure/support-seeking","Not quantified","Masculinity can facilitate as well as inhibit","MODERATE","Qualitative; setting-specific","No","No","No","Yes","No","observed usage;preference","C","IDENTITY CONGRUENCE;RESPONSIBILITY","SOCIAL-CONTEXT"
"C008","Male-targeted media campaigns can improve some help-seeking attitudes/beliefs for depression, but suicide-specific campaigns show mixed results and components cannot be isolated.","D1;D2;D5","3","Duthie et al. systematic review","Duthie et al. (2024)","AU/UK/US/CA","Men","Adult","22 studies","Health communication","Systematic review","Campaign exposure (bundled)","Help-seeking attitudes/beliefs/intentions","Heterogeneous; generally favourable for depression campaigns","Positive but inconsistent","MODERATE","Heterogeneity; variable quality; wording confounded with imagery/channel/spend","No","Partly","No","Yes (male-targeted)","No","attitude;intention","B","STIGMA;NORMALIZATION","SOCIAL-CONTEXT"
"C009","Gender-tailored male suicide-prevention interventions have not shown clear effects on suicide attempts, ideation or depression in randomised evidence.","D1;D5","2","Shi et al. systematic review","Shi et al. (2026)","Multinational","Men","Adult","17 articles; 14 interventions","Health communication","Systematic review of RCTs and other designs","Gender-tailored intervention (7 tailoring categories)","Suicide attempts; ideation; depression; help-seeking","No clear RCT effect on clinical outcomes; help-seeking mixed; attitudes not clearly improved","Null / mixed","STRONG (as evidence of uncertainty)","Heterogeneous interventions; moderate-to-high risk of bias","No","Yes","No","Yes","No","clinical outcome;actual behavior","A/B","(none - null finding)","SOCIAL-CONTEXT"
"C010","A humour-rich, masculinity-parodying digital intervention did not outperform an active control on suicidal ideation or depression.","D1;D2","2","Man Therapy RCT","Frey et al. (2022/2023)","US (Michigan)","Working-age men, largely White","Working age","554 enrolled; 421 completed","Health communication","Two-group longitudinal RCT","Man Therapy vs active control website","Suicidal ideation; depression","Both improved (SI slope -0.23 [-0.29,-0.16]; depression -0.21 [-0.23,-0.18]); NO difference by assignment","Null for superiority","STRONG (for this comparison)","Single US state; multi-component intervention; active comparator also substantial; humour not isolated","Yes (RCT)","No","No","Yes","No (bundled)","clinical outcome","A","HUMOR;INSTITUTIONAL DISTANCE","SOCIAL-CONTEXT"
"C011","Man Therapy participants showed somewhat higher odds of actual professional help-seeking in a secondary analysis.","D1","1","Man Therapy secondary analysis","Man Therapy secondary (2023)","US (Michigan)","Working-age men","Working age","RCT-derived sample","Health communication","Secondary logistic regression","Man Therapy assignment","Professional help-seeking","Adjusted OR ~1.55, 95% CI ~1.00-2.40, p=.049","Positive, borderline","WEAK-MODERATE","Borderline significance; secondary outcome; humour not isolated from screening/resources","Partly","No","No","Yes","No","actual behavior","A","(bundled)","SOCIAL-CONTEXT"
"C012","Mental-health literacy interventions among athletes improved knowledge, stigma, attitudes and intentions but produced no measurable change in actual help-seeking behaviour.","D2","1","Athlete mental-health literacy systematic review","(review, 2020s)","Multinational","Athletes (male-heavy)","Adult","5 studies; N=1,239","Health communication","Systematic review","MHL intervention","Knowledge; stigma; attitude; intention; ACTUAL help-seeking","Small-to-medium on proximal outcomes; NULL on behaviour at post and follow-up","Proximal yes, behavioural no","MODERATE","Athlete populations; mixed study quality; not Indonesia","Partly","No","No","No (athletes, not men-only)","No","attitude;intention;actual behavior","A/B","(none - outcome dissociation)","GENERAL"
"C013","Sports-club affiliation can activate social identity strongly enough to overcome prior reluctance to join health programmes.","D1","1","Timm et al. rapid realist review","Timm et al. (2024/2025)","Mostly Western","Adult men, mainly sports fans","Adult","52 studies","Community/setting","Rapid realist review","Club attachment","Programme engagement / behaviour change","Not pooled; consistent realist mechanism","Positive","MODERATE","Skewed to middle-aged, overweight, predominantly White fans; setting confounded with wording","No","Partly","No","Partly (male-dominated settings)","No","actual behavior;engagement","B/C","BELONGING;SOCIAL IDENTITY","SOCIAL-CONTEXT"
"C014","A football-club-embedded, gender-sensitised programme produced sustained weight loss in men aged 35-65.","D1;D5","2","Football Fans in Training RCT","FFIT (Hunt et al.)","Scotland","Overweight/obese men recruited via football clubs","35-65","~750","Community/setting","RCT","FFIT programme (bundled) vs comparison","Weight at 12 months","-4.9 kg difference, 95% CI ~ -5.9 to -4.0","Positive","STRONG (for the package)","Cannot isolate language from setting, facilitator, group, identity or programme design","Yes (RCT)","Partly","No","Yes (male-targeted)","No","actual behavior;clinical outcome","A","BELONGING;SOCIAL IDENTITY;AGENCY","SOCIAL-CONTEXT"
"C015","A peer-delivered workplace suicide-prevention programme improved mental-health literacy and helping intentions; behavioural and stigma effects were weaker.","D1;D5","2","MATES in Construction systematic review","MATES review (2023); workplace review (2024)","Australia/NZ","Construction workers","Adult","12 papers; separate review of 12 articles/4 interventions","Community/setting","Systematic review","Peer-embedded workplace programme","Literacy; helping intentions; help-seeking; stigma","Strongest for literacy and intentions","Positive proximal","MODERATE","Limited high-quality behavioural/suicide evidence; methodological quality mostly not strong","No","Partly","No","Partly (male-dominated industry)","No","attitude;intention;actual behavior","B/C","MESSENGER CREDIBILITY;BELONGING","SOCIAL-CONTEXT"
"C016","Behaviour-change techniques including relatable male role models, psychoeducation, symptom recognition, active problem-solving, signposting and building on valued male traits appear in more successful male help-seeking interventions.","D1;D5","2","Sagar-Ouriaghli et al. systematic review","Sagar-Ouriaghli et al. (2019)","International","Men in psychological distress","Adult","9 interventions from 6,598 citations","Health communication","Systematic review + BCT taxonomy mapping","Intervention components (bundled)","Help-seeking intentions; service utilisation","Not pooled (heterogeneity prevented meta-analysis)","Positive","MODERATE-LOW","Components coexist; cannot isolate 'strength' or masculinity reframing as active ingredient","No","No","No","Yes","No","intention;actual behavior","B/C","AGENCY;COMPETENCE;MODELLING","SOCIAL-CONTEXT"
"C017","Men's Sheds and similar side-by-side activity settings are associated with reduced isolation and improved wellbeing, mainly among older men.","D1;D5","2","Men's Sheds systematic and scoping reviews","(multiple reviews to 2026)","Australia/Anglosphere","Mostly older/retired men","55+","Multiple reviews","Community/setting","Systematic/scoping review of mostly non-randomised evidence","Male-specific activity-based community","Connection; isolation; wellbeing; depression","Generally promising; heterogeneous measurement","Positive","MODERATE (for model); VERY LOW for the word 'men's'","Selection effects; older skew; label not isolated; poor generalisation to working-age men","No","Partly","No","Partly","No","actual behavior;clinical outcome","B/C","BELONGING;LOW EXPOSURE;ACTIVITY-MEDIATED","SOCIAL-CONTEXT"
"C018","An explicit 'Real Men' branded depression brochure performed no better than an identical gender-neutral brochure; an autonomy-supportive male-sensitive brochure did reduce self-stigma.","D5","1","Real Men Real Depression campaign evaluations","Rochlen et al. (2006); Hammer & Vogel (2010)","US","Depressed adult men not in care","Adult","Multiple experimental samples","Masculinity framing","Randomised / experimental brochure comparison","Masculinity-policing label vs neutral vs autonomy-supportive male-sensitive","Self-stigma; help-seeking attitudes/intentions","Real Men = no incremental benefit vs neutral; male-sensitive autonomy format reduced self-stigma","Label null; autonomy support positive","STRONG (for this rare true wording test)","Post-exposure intentions rather than clinic visits; US only; ~2006-2010 vintage","Yes","Partly","No","Yes","YES (wording manipulated)","attitude;intention","A","AUTONOMY;IDENTITY POLICING","SOCIAL-CONTEXT"
"C019","Gender-coded wording effects depend on the recipient's gender-role identity, not simply on being male: strongly masculine-identified men uniquely disliked communal wording while other men evaluated both styles positively.","D5","1","Baxter et al. walking-leaflet studies","Baxter et al. (2022)","UK","Adults, gender-role identity measured","Adult","Study 1 N=247; 20 interviews; Study 3","Masculinity framing","Mixed-methods message manipulation","Agentic vs communal wording x endorser gender","Ad attitude; credibility; behavioural intention","No universal male preference for masculine wording; subgroup effect for masculine-identified men","Conditional","MODERATE-HIGH","Not a literal 'for men' label test; survey context limits external validity","Partly","No","No","Yes (men and women compared)","YES","preference;attitude;intention","A","IDENTITY CONGRUENCE","MALE-DIFFERENTIATED (moderated by identity, not sex)"
"C020","Responses to hypermasculine advertising depend on endorsement of specific masculine norms (winning, heterosexual self-presentation, power over women) rather than on being male.","D5","1","Parent & Cooper experiment","Parent & Cooper (2019/2020)","US (online)","Men","Adult","N=208","Masculinity framing","Experiment (threat x ad type)","Masculinity threat; hypermasculine vs neutral ad","Ad evaluation","Norm-specific moderation","Conditional","MODERATE","Hypermasculine content differs from a bare demographic label","Yes","No","No","Yes","Partly","attitude","A","IDENTITY CONGRUENCE;STATUS","MALE-DIFFERENTIATED (norm-moderated)"
"C021","Experimentally threatening masculine adequacy produces measurable responses, strongest for immediate negative affect and reduced self-perceived masculinity.","D5;D3","2","Lorenz et al. masculinity-threat meta-analysis","Lorenz et al. (2026)","Predominantly Western, heterosexual men","Men","Adult","N~19,448 across experiments","Masculinity framing","Meta-analysis of experiments","Masculinity threat manipulation","Affect; self-perceived masculinity; compensation","Overall d~.45, 95% CI [.38,.51]","Positive for threat responses","STRONG for genuine threat; NOT applicable to ordinary 'for men' labels","Heterogeneous; Western/heterosexual samples; distal behavioural effects less secure","Yes","Partly","No","Yes","Partly","attitude;engagement","A","IDENTITY THREAT;STATUS","MALE-DIFFERENTIATED"
"C022","The published masculinity-threat literature shows substantial selection for statistical significance, with behavioural outcomes the weakest evidential tier and at least one influential effect failing preregistered replication.","D5","1","Krivoshchekov & Gulevich credibility analysis","Krivoshchekov & Gulevich (2026)","International literature","Published experiments","n/a","188 independent samples; 452 hypothesis tests","Masculinity framing","Z-curve credibility review","Publication/selection processes","Expected replicability","Moderate expected replicability; behavioural outcomes weakest","Downgrades prior confidence","STRONG (methodological)","Does not itself estimate label effects","No","n/a","No","Yes","No","n/a","B","(meta-scientific caution)","GENERAL"
"C023","Freedom-threatening (controlling) language reliably increases anger, negative cognitions and measured reactance, and anger in turn relates negatively to persuasion.","D5;D6","2","Li & Shi reactance meta-analysis","Li & Shi (2025/2026)","Multinational","General persuasion audiences","Adult","28 articles; 33 studies; 146 effect sizes","Persuasion","Meta-analysis of experiments","High vs low freedom-threatening language","Anger; negative cognition; reactance; persuasion","r=.21 (anger); r=.17 (negative cognition); r=.20 (reactance); anger-persuasion r=-.23","Controlling language backfires","STRONG","NOT masculinity-specific; immediate outcomes only; long-term cumulative effects unknown","Yes","Yes (converges with Rains 2013)","No","NO (general human)","YES","attitude;intention","A","AUTONOMY/REACTANCE","GENERAL"
"C024","Masculine cues can function as identity reassurance where a behaviour or product is already coded feminine, altering men's choices.","D5","1","Brough et al. green-feminine stereotype programme","Brough et al. (2016)","US","Consumers","Adult","7 studies","Consumer behaviour","Experiments","Masculine branding / masculinity affirmation","Sustainable consumption choice","Masculine cues reduced gender-incongruity penalty","Positive where incongruity exists","STRONG (for gender-coded categories)","Does not show masculine branding helps gender-neutral categories","Yes","Yes","No","Yes","YES (branding/wording)","preference;actual behavior","A","IDENTITY REASSURANCE;IMPRESSION MANAGEMENT","MALE-DIFFERENTIATED (category-conditional)"
"C025","Men avoid feminine-coded options when the choice is publicly visible, but not when it is private.","D5","1","White & Dahl dissociative reference group experiments","White & Dahl (2006; 2007)","Canada/US","Male undergraduates and consumers","18-25","Multiple factorial experiments","Consumer behaviour","Factorial lab experiments","Feminine label x public vs private consumption","Product evaluation/choice","Public avoidance; private parity; asymmetric (women did not mirror it)","Public visibility drives avoidance","STRONG","Student convenience samples; hypothetical choices","Yes","Yes","No","Yes (asymmetry tested)","YES","preference;actual behavior","A","IMPRESSION MANAGEMENT;SOCIAL EXPOSURE","MALE-DIFFERENTIATED"
