"id","conclusion","confidence_tier","evidence_category","principal_limitation","male_specificity_class","source_domains"
"E01","Restrictive masculine norms (especially self-reliance) are associated with poorer help-seeking attitudes and higher self-stigma","STRONG","B","correlational; meta-analytic; not causal; not about wording","SOCIAL-CONTEXT","D1;D2;D5;D7"
"E02","Freedom-threatening/controlling language increases anger, counterarguing and reactance and reduces persuasion","STRONG","A","meta-analytic experimental; general human, NOT male-specific","GENERAL","D5;D6"
"E03","Engagement metrics are not valid proxies for trust, persuasion or behaviour","STRONG","A/B","meta-analysis found no reliable engagement association; petition study shows direct dissociation","GENERAL","D6"
"E04","Average sex differences in communication style are small and context-dependent","STRONG","B","meta-analytic; refutes 'male brain' style claims","GENERAL","D1"
"E05","Genuine threats to masculine adequacy produce measurable affective responses","STRONG","A","d~.45; but publication-selection caveats and weak behavioural tier","MALE-DIFFERENTIATED","D5;D3"
"E06","Men avoid feminine-coded options when publicly visible but not privately","STRONG","A","replicated; asymmetric (women do not mirror it)","MALE-DIFFERENTIATED","D5"
"E07","Masculine cues help where a category is already feminine-coded, not where it is neutral","STRONG","A","seven-study programme plus null in neutral/other categories","MALE-DIFFERENTIATED","D5"
"E08","An explicit 'Real Men' label added nothing over a neutral brochure; autonomy-supportive male-sensitive framing did reduce self-stigma","RELATIVELY STRONG","A","rare true wording manipulation; US; ~2006-2010; small literature","SOCIAL-CONTEXT","D5"
"E09","Community and socio-economic status are the dominant social determinants of men's health-seeking across 154 studies and all six Indonesian studies","RELATIVELY STRONG","C/F","interpretive synthesis; coding is the author's; not a prevalence claim","INDONESIA-CONFIGURED","D7"
"E10","Religion is a determinant of men's health-seeking in the Global South and Indonesia, and is near-absent from Global North frameworks","RELATIVELY STRONG","B/C","34% vs 5% coding gap; Indonesian evidence Muslim/Javanese-weighted","INDONESIA-CONFIGURED","D7"
"E11","Male-specific settings and peer messengers can improve engagement","MODERATE","A/B/C","FFIT RCT plus realist review plus workplace reviews; setting confounded with wording","SOCIAL-CONTEXT","D1;D5"
"E12","Agency, collective-identity and prosocial language predict costly action better than outrage does","MODERATE","B","one very large ecological dataset; observational","GENERAL","D6"
"E13","Moral density has a non-linear relationship with engagement","MODERATE","B","single research programme; political/fringe text platforms; no numeric transfer","GENERAL","D6"
"E14","Concrete internal action and consistency increase perceived authenticity more than abstract moral positioning","MODERATE","A/B","experiments plus meta-analytic moderators; commercial contexts","GENERAL","D6"
"E15","Shaming and ridicule of men can backfire, in at least one case increasing violent fantasies","MODERATE","A","four-study programme; specific population; not widely replicated","SOCIAL-CONTEXT","D3"
"E16","Provider identity is a central and institutionally codified organiser of Indonesian masculine self-worth","MODERATE","B/C/D","legal and religious codification is documented; psychological effect is inferred","INDONESIA-CONFIGURED","D2;D4;D7"
"E17","Indonesian male homosociality supports companionship far more readily than confiding","MODERATE","C","qualitative; Java-weighted; small samples","INDONESIA-CONFIGURED","D7;D2"
"E18","Indonesian community operates simultaneously as care and as surveillance","MODERATE","C/F","interpretive; grounded in six studies plus anthropological literature","INDONESIA-CONFIGURED","D7"
"E19","Male-tailored interventions improve proximal outcomes (literacy, attitudes, intentions) more reliably than behaviour","MODERATE","A/B","athlete review shows an explicit null on behaviour; workplace reviews converge","SOCIAL-CONTEXT","D1;D2;D5"
