"id","apparent_contradiction","evidence_on_each_side","why_it_looks_like_a_contradiction","actual_distinguishing_variable","boundary_condition","design_implication","source_domains","confidence","status"
"X01","Directness helps men vs indirect emotional entry helps men","Sharp et al. (2024/25): men prefer coded, colloquial mental-health language. Same study: men prefer dynamic, action, growth language. Male-facing brands and programmes use blunt imperatives.","The same 64 men wanted BOTH. Reviews find no universal advantage for blunt problem-focused wording.","Not a contradiction: 'directness' was never one variable.","Decompose into diagnostic, emotional, informational, behavioural, interpersonal, moral directness and CTA pressure. These move independently.","A message can be emotionally indirect AND behaviourally explicit. That combination is the modal recommendation in male-facing health practice.","D1;D2;D7","MODERATE","RESOLVED BY DECOMPOSITION"
"X02","Masculinity framing increases relevance vs masculinity framing produces reactance","Brough et al. (2016): masculine cues increase men's uptake of feminine-coded green products. White & Dahl: public feminine labels are avoided. VS Real Men Real Depression: masculinity label added nothing over neutral; Scholz et al.: masculine framing did not move traditional men; masculine job-ad wording narrows the pool.","Both bodies of evidence are experimental and neither is weak.","Boundary condition is the PRIOR GENDER-CODING of the behaviour and the PUBLIC VISIBILITY of the response.","Masculine cues resolve an identity problem that already exists. Where no gender problem exists, adding gender creates an identity negotiation instead of removing one.","For a men's mental-health organisation the relevant question is empirical, not stylistic: is help-seeking currently feminine-coded for THIS audience, in PUBLIC or in PRIVATE? Untested in Indonesia.","D5;D1","MODERATE-STRONG","RESOLVED BY BOUNDARY CONDITION"
"X03","Status motivates vs status pressure produces shame","Manosphere literature: status legibility and aspiration are strong retention mechanisms. Indonesian evidence: kemapanan and provider identity organise male self-worth. VS Man Box data: inability to fulfil the provider role is associated with by far the largest suicidal-ideation multiplier reported in that literature.","Both are about the same construct.","Depends on whether the recipient's status is currently ATTAINABLE or currently FAILING.","Status framing is aspirational for a man who can still climb and annihilating for a man who has already fallen short. The same sentence changes valence with the audience's position.","Never use provider/achievement framing as the default entry frame in a mental-health context, because the men most at risk are disproportionately those for whom that frame is currently failing.","D3;D4;D2;D7","MODERATE","RESOLVED BY AUDIENCE STATE"
"X04","Humour lowers social distance vs humour trivialises distress","Ofcom: humour is the single most common reported attraction. Man Therapy is built on parody. VS Man Therapy RCT was null on clinical outcomes; banter can normalise exclusion and make topics undiscussable.","The strongest humour evidence is about ENTRY, the strongest counter-evidence is about OUTCOMES.","Funnel stage and severity.","Humour has good evidence as an attention/entry device and no isolated evidence as a persuasion or clinical mechanism. Its risk rises monotonically with severity.","Permissible in low-risk entry content; not in acute-risk content. This is a stage rule, not a taste rule.","D1;D2;D3","MIXED","RESOLVED BY FUNNEL STAGE"
"X05","Moral emotion increases diffusion vs moral saturation decreases engagement","Brady et al.: each moral-emotional word ~+13% sharing. VS Candia et al.: conditional on moral loading, higher moral density predicts LOWER engagement.","These measure different quantities.","Absolute moral LOADING vs moral DENSITY (proportion).","Two posts can carry the same amount of moral content but very different concentrations. Loading raises diffusion; concentration eventually suppresses it.","Design implication: keep moral meaning present but surrounded by non-moral substance (facts, story, practical content). Do NOT chase a numeric ratio.","D6","MODERATE-HIGH","RESOLVED BY CONSTRUCT SEPARATION"
"X06","Male identity creates belonging vs identity policing creates rejection","Men's Sheds, FFIT, MATES: male-specific settings facilitate engagement. VS 'Real men' constructions make group membership conditional; Man Up campaign critique; ~20% adolescent resistance to collective-indictment framing.","Both concern male-specific framing.","Whether the framing ADDRESSES the group or REGULATES it.","Male-specific INFRASTRUCTURE (a space where men happen to feel comfortable) is a different intervention from masculinity-explicit PERSUASION (telling men what masculinity should mean). These are routinely conflated as 'male-friendly'.","An organisation can be unambiguously for men without making any claim about what a man is.","D1;D5;D7","MODERATE-STRONG","RESOLVED BY GRAMMATICAL FUNCTION"
"X07","Masculinity inhibits Indonesian help-seeking vs masculinity shows no effect in Indonesia","Chandra & Himawan: masculinity ideology explains 11.4% of variance in help-seeking ATTITUDES among young Chinese-Indonesian men. VS Hadisuyatmana et al.: masculinity ideology, norms and GRC show NO significant correlation with primary-care USE among Surabaya men aged 20-40.","Both are Indonesian, both are cross-sectional.","Different outcomes (attitudes vs utilisation), different domains (mental vs physical), different populations (young ethnic-minority urban vs general urban).","Not a genuine contradiction. It demonstrates that domain, outcome, ethnicity and age all matter, and that no general 'Indonesian masculinity blocks care' claim is supported.","Do not build strategy on the assumption that masculinity is the primary Indonesian barrier. The dissertation's finding that Community and SES dominate is better supported.","D5;D7","MODERATE","RESOLVED BY OUTCOME AND POPULATION"
"X08","Manosphere audiences are lonely, failing men vs manosphere audiences are advantaged and optimistic","Incel literature: very high depression, isolation, suicidality. VS Movember and Equimundo: influencer followers more employed, educated, higher-income, partnered; equally lonely to peers; more optimistic.","Both are empirical.","The unit of analysis. Incels are a small, bounded, heavily studied subpopulation; masculinity-influencer audiences are a mass population.","Incels are over-represented in scholarship relative to their share of the ecosystem. Findings about severe isolation cannot be transferred to a teenager watching gym content.","Do not design communication for Indonesian men aged 18-35 on the assumption that the manosphere-adjacent audience is a distressed minority. It is closer to the mainstream.","D3;D4","MODERATE-STRONG","RESOLVED BY POPULATION"
"X09","Engagement indicates success vs engagement indicates hostility","Moral-contagion literature: moral-emotional content spreads. VS Corporate-activism meta-analysis found NO reliable pooled association with social-media engagement; Gillette's dislikes exceeded likes; virality itself increases outrage.","Not a contradiction about wording; a contradiction about what engagement measures.","Valence and endogeneity of the metric.","Engagement conflates approval, hostility, algorithmic selection and audience-composition shift.","Never treat likes, shares or comment volume as evidence of trust or persuasion. Measure them separately and code comment valence.","D6","STRONG","RESOLVED - ENGAGEMENT IS NOT AN OUTCOME"
"X10","Reframing help-seeking as strength reduces stigma vs it preserves the norm that causes stigma","Practice and BCT reviews: strengths-based framing is among the promising components. VS Rigid masculinity is itself associated with self-stigma; 'a strong man asks for help' preserves the premise that a man must prove strength.","Short-term engagement and long-term norm change are different outcomes and are rarely measured together.","Time horizon and outcome.","This is a real, unresolved empirical and ethical tension - masculinity ACCOMMODATION vs masculinity EXPANSION. Current evidence does not establish either as superior.","State the tension explicitly rather than resolving it rhetorically. Prefer framings that do not make worth conditional on any trait at all.","D1;D2;D5","MODERATE (as a genuine open tension)","UNRESOLVED - GENUINE TENSION"
