"mechanism_id","mechanism","message_feature","perceived_social_meaning","appraisal","psychological_mechanism","emotional_response","relational_response","behavioural_possibility","key_moderators","evidence_strength","male_specificity_class","failure_mode"
"M01","Response cost / social-exposure cost","Message implies what the recipient must admit, signal, risk or expose in order to respond","'If I take this up, what will people conclude about me, and who will find out?'","Anticipated social and identity accounting; appraisal of audience, reversibility and visibility","Reduced anticipated shame, malu, gengsi and family-stigma exposure; preserved standing","Relief; safety; reduced defensiveness; NOT necessarily strong emotion","Communicator is experienced as safe rather than demanding","Low-threshold action becomes possible (reading, saving, attending, asking a question)","Public vs private visibility; peer norms; family stigma; identity centrality; severity; platform","PROMISING/TENTATIVE","SOCIAL-CONTEXT","Backfires if 'low pressure' becomes vagueness - no clear next step, or a promise of anonymity the service cannot keep"
"M02","Agency / self-efficacy / actionability","Concrete, bounded, performable next step attributed to the recipient","'There is something I can actually do, and it is small enough to do'","Efficacy appraisal; reduced helplessness; internal locus restored without blame","Perceived control; competence","Motivation; calm; mild pride; relief from paralysis","Communicator is experienced as useful rather than merely sympathetic","Costly or effortful behaviour becomes more likely (the petition-signature profile)","Whether the step is genuinely available; structural barriers; severity; prior failed attempts","MODERATE","GENERAL (male-relevant via norms that penalise visible helplessness)","Backfires as victim-blaming when structural barriers (cost, distance, queues) make the step unavailable - the manosphere's discipline-only failure mode"
"M03","Uncertainty reduction / structure","Named categories, sequences, scripts, thresholds, honest 'here is what we know and do not know'","'This is intelligible; someone has a map'","Cognitive closure need; ambiguity is resolved","Reduced anxiety of not knowing; orientation","Curiosity; calm; sometimes relief","Communicator gains epistemic authority","Willingness to take a first step; willingness to keep reading","Topic tractability; audience literacy; whether the certainty offered is honest","PROMISING/TENTATIVE","GENERAL","Backfires as FALSE CERTAINTY - the exact mechanism the manosphere exploits. Calibrated structure, not totalising rules"
"M04","Belonging / social identity","First-person plural rooted in a real shared identity, setting or activity; visible peers doing the same thing","'People like me are here, and this is a place I already belong'","Self-categorisation; group prototypicality; normative fit","Social identity affirmation; reduced deviance risk","Warmth; recognition; sometimes pride","Communicator becomes an insider rather than an institution","Attendance, participation, sustained engagement","Whether the shared identity is genuine or cosmetic; whether the group's norms are supportive or policing","MODERATE-STRONG","SOCIAL-CONTEXT","Backfires as fake brotherhood when 'kita' is asserted without a real shared identity, and as norm policing when the in-group enforces stoicism"
"M05","Recognition / validation","Accurate naming of a difficulty the recipient believes is unspoken, WITHOUT supplying a culprit","'They have described my situation correctly and they did not need an enemy to do it'","Epistemic and emotional acknowledgement; reduced isolation of experience","Feeling understood; reduced self-blame","Relief; being seen; sometimes grief surfacing safely","Trust in the communicator's accuracy","Willingness to hear what comes next","Accuracy of the description; whether validation slides into grievance amplification","MODERATE","SOCIAL-CONTEXT","Backfires as grievance amplification: validating the DIFFICULTY is legitimate, validating a false EXPLANATION of who caused it is not"
"M06","Autonomy preservation","Choice-preserving syntax: can/could/may, options, invitation, explicit permission to decline","'They are not trying to control me'","Freedom-threat appraisal; persuasion-knowledge activation","Preserved self-determination","Absence of anger and counterarguing; measured openness","Communicator is not experienced as an authority imposing on the recipient","Higher acceptance of the same substantive recommendation","Prior autonomy sensitivity; source legitimacy; urgency (crisis narrows this)","STRONG","GENERAL","Backfires when a genuine emergency needs unambiguous instruction; autonomy-preserving hedging is wrong for acute risk"
"M07","Identity congruence vs identity negotiation","Whether the message gendered the content, and whether it merely addresses or actively regulates the group","'Is this for me?' versus 'Why is my manhood being brought into this?'","Self-categorisation OR identity-proposition evaluation","Relevance and belonging OR added identity work","Recognition OR irritation, embarrassment, stereotype rejection","Communicator seen as knowing the audience OR as pandering/policing","Attention and relevance OR disengagement and mockery","Prior gender-coding of the behaviour; identity centrality; public visibility; descriptive vs prescriptive form","MODERATE","MALE-DIFFERENTIATED (moderated by identity, not by sex)","Backfires whenever gender is added to content that had no gender problem - it manufactures a negotiation that did not exist"
"M08","Status / dignity / provider identity","Language that treats the recipient as a competent adult with obligations to others rather than a deficient patient","'Coming here does not cost me standing; it may even be part of what I owe people'","Status and dignity appraisal; role congruence","Preserved wibawa/harga diri; care reframed as responsibility discharged rather than weakness admitted","Dignity; sometimes pride; relief from shame","Communicator treated as a respectful equal or credible authority","Willingness to be seen engaging","Whether provider identity is currently intact or currently failing; economic precarity intensifies both directions","MODERATE-STRONG (Indonesia: STRONG)","INDONESIA-CONFIGURED (legally and religiously codified)","Backfires by RE-ANCHORING worth to provision: for a man who cannot provide, 'be a good provider' language is exactly the wrong frame (Man Box provider-failure ideation data)"
"M09","Messenger credibility / licensed intimacy","Who is speaking, and whether the relationship they claim is one the audience recognises","'Is this person allowed to talk to me this way?'","Source evaluation; register licensing; membership check","Trust OR detection of impersonation","Trust and ease OR cringe, embarrassment, cynicism","The entire relationship is set here before content is processed","Everything downstream depends on it","Whether the speaker has real membership; regional and class coding of the register; institutional role","MODERATE-STRONG","INDONESIA-CONFIGURED (pronoun system makes this unusually explicit)","Backfires instantly as fake slang. In Indonesian, gue/lo from an unlicensed institutional speaker is a credibility event, not a stylistic choice"
"M10","Motive attribution / authenticity","Concrete, falsifiable, costly commitments vs abstract values language","'Why is this organisation saying this to me, and what has it actually done?'","Persuasion-knowledge activation; covariation reasoning about motive","Credibility OR virtue-signalling attribution","Respect OR cynicism and do-gooder derogation","Long-run institutional trust","Donation, referral, sustained relationship","Sender type (nonprofit baseline differs from commercial); consistency over time; cause-mission fit","STRONG","GENERAL","Backfires most severely when a congruent promise is made and then not kept - worse than never promising"
