"mechanism_id","mechanism","D1_global_male_comms","D2_indonesian_male_comms","D3_global_manosphere","D4_indonesian_sea_manosphere","D5_masculinity_framing","D6_moral_communication","D7_indonesia_masculinity_mh","domain_breadth_moderate_or_above","unique_underlying_studies","evidence_strength","interpretation_note"
"M01","Response cost / social-exposure cost of accepting the message","MODERATE_SUPPORT","MODERATE_SUPPORT","STRONG_SUPPORT","MODERATE_SUPPORT","STRONG_SUPPORT","WEAK_ADJACENT","STRONG_SUPPORT","6","9","PROMISING/TENTATIVE","Recurs in every domain but has never been directly operationalised or manipulated as a construct. Breadth is high; direct evidence is absent. Treat as the corpus's leading testable hypothesis, not a finding."
"M02","Agency / self-efficacy / actionability","MODERATE_SUPPORT","MODERATE_SUPPORT","STRONG_SUPPORT","MODERATE_SUPPORT","MODERATE_SUPPORT","STRONG_SUPPORT","WEAK_ADJACENT","6","12","MODERATE","Best behavioural evidence is the Change.org petition dataset (agency language predicts signatures, outrage does not). Health evidence is bundled (FFIT, BCT review). Preference evidence is qualitative."
"M03","Uncertainty reduction / structure / intelligibility","MODERATE_SUPPORT","WEAK_ADJACENT","STRONG_SUPPORT","STRONG_SUPPORT","WEAK_ADJACENT","WEAK_ADJACENT","MODERATE_SUPPORT","4","7","PROMISING/TENTATIVE","Overwhelmingly the manosphere literature's strongest descriptive finding (explanatory compression, red-pill certainty). Health-side evidence is practice-level (ALEC, Talk Club scale). No controlled test."
"M04","Belonging / social identity / peer congruence","STRONG_SUPPORT","MODERATE_SUPPORT","STRONG_SUPPORT","MODERATE_SUPPORT","MODERATE_SUPPORT","MODERATE_SUPPORT","STRONG_SUPPORT","7","14","MODERATE-STRONG","Only mechanism supported in all seven domains. Strongest single evidence: FFIT RCT + sports realist review + dissertation finding that Community is the top determinant in 78.6% of 154 studies and 100% of Indonesian studies."
"M05","Recognition / validation / feeling seen","MODERATE_SUPPORT","WEAK_ADJACENT","STRONG_SUPPORT","STRONG_SUPPORT","WEAK_ADJACENT","WEAK_ADJACENT","MODERATE_SUPPORT","4","6","MODERATE (qualitative)","Former-incel interviews and Ofcom are the strongest sources; all qualitative. The key analytic move is separating validation of DIFFICULTY from validation of an EXPLANATION."
"M06","Autonomy preservation / reactance avoidance","MODERATE_SUPPORT","WEAK_ADJACENT","MODERATE_SUPPORT","WEAK_ADJACENT","STRONG_SUPPORT","STRONG_SUPPORT","NOT_ADDRESSED","4","6","STRONG (but general, not male-specific)","Two independent meta-analyses (reactance; moral appeals) plus the Real Men brochure trial. This is the single best-evidenced wording-level mechanism in the entire corpus - and it is a GENERAL human mechanism."
"M07","Identity congruence vs unnecessary identity negotiation","MODERATE_SUPPORT","MODERATE_SUPPORT","MODERATE_SUPPORT","MODERATE_SUPPORT","STRONG_SUPPORT","WEAK_ADJACENT","MODERATE_SUPPORT","6","9","MODERATE","The masculinity-framing domain is the only one that tests it properly. Central finding: gender labelling helps where a gender problem already exists and adds friction where it does not."
"M08","Status / dignity / respect (incl. provider identity)","MODERATE_SUPPORT","STRONG_SUPPORT","STRONG_SUPPORT","STRONG_SUPPORT","MODERATE_SUPPORT","WEAK_ADJACENT","STRONG_SUPPORT","6","11","MODERATE-STRONG (Indonesia: STRONG)","Provider identity is the single most consistently coded masculinity norm in the dissertation corpus (30% overall, 34% Global South) and is legally and religiously codified in Indonesia."
"M09","Messenger credibility / licensed intimacy","STRONG_SUPPORT","STRONG_SUPPORT","MODERATE_SUPPORT","MODERATE_SUPPORT","MODERATE_SUPPORT","STRONG_SUPPORT","MODERATE_SUPPORT","7","10","MODERATE-STRONG","Second mechanism present in all seven domains. Indonesian sociolinguistics gives it unusual specificity: register is relationally licensed, so the same words carry opposite meanings from different speakers."
"M10","Motive attribution / authenticity / costly signalling","MODERATE_SUPPORT","WEAK_ADJACENT","MODERATE_SUPPORT","MODERATE_SUPPORT","MODERATE_SUPPORT","STRONG_SUPPORT","NOT_ADDRESSED","5","7","STRONG (organisational domain)","Best evidence is the CSA meta-analysis and the woke-washing experiments. Directly transferable to a nonprofit: concrete internal action beats abstract positioning."
