"source_id","filename","classification","domain","word_count","line_count","analytical_strengths","reliability","principal_limitations","use_in_this_synthesis"
"S01","Adult Male Verbal Communication Research - Deep Research Report.md","A. Final Deep Research Report","D1 Global adult-male verbal communication","8,574","404","Highest-rigour report in the corpus. Explicit five-level evidence hierarchy; explicit confidence tiers; repeatedly refuses to convert usage into psychology.","HIGH","Uses citeturn-style inline reference tokens that cannot be resolved to URLs from the file alone; effect sizes are reported but not independently verifiable here.","PRINCIPAL SOURCE"
"S02","Adult Male Verbal Communication Research.md","A. Final report (independent second generation, same brief)","D1 Global adult-male verbal communication","9,011","543","Second, differently-generated report on the same brief. More assertive, more archetype-driven, less hedged. Adds Precarious Manhood, Gender Similarities, Talk Club, Norwich City/Samaritans, CALM, Men's Sheds, F1 team radio.","MEDIUM","States campaign outcomes (7,500 contacts; 161 lives saved; 63% attribution) that are campaign-reported and uncontrolled. Presents archetypes as findings. NOT independent of S01 at the study level - substantial shared underlying literature.","SECONDARY; DEDUPED AGAINST S01"
"S03","Riset Komunikasi Pria Dewasa Indonesia - Deep Research Report.md","A. Final Deep Research Report","D2 Indonesian adult-male verbal communication","7,872","405","Highest-rigour Indonesian communication source. Maintains the usage/preference/effectiveness distinction throughout. Excellent pronoun and address map. Explicitly states that no Indonesian randomised wording experiment was found.","HIGH","citeturn tokens unresolvable; Indonesian corpus is brand-heavy and Jakarta-weighted.","PRINCIPAL SOURCE"
"S04","Riset Komunikasi Pria Dewasa Indonesia.md","A. Final report (independent second generation, same brief)","D2 Indonesian adult-male verbal communication","9,126","386","Rich local detail: Gudang Garam and Extra Joss copy, MS Glow For Men, Kahf, AyahASI, Menyala Abangku, discourse particles, class/generation register mapping.","MEDIUM","Presents several psychological claims (e.g. a BPS 20%/40% help-seeking split) that are not traceable to a primary source in the document. Archetypes and register-by-class claims are asserted, not measured. Overlaps heavily with S03.","SECONDARY; USE FOR LINGUISTIC AND CORPUS DETAIL, NOT FOR EFFECT CLAIMS"
"S05","Global Manosphere Research Study - Deep Research Report.md","A. Final Deep Research Report","D3 Global manosphere","11,222","591","Very high rigour. Explicit STRONG/MODERATE/EMERGING/WEAK labelling per conclusion. Explicitly separates exposure, membership, belief, and violence. Contains the corpus's best boundary framework (MCCF).","HIGH","citeturn tokens unresolvable; incel over-representation acknowledged by the report itself.","PRINCIPAL SOURCE"
"S06","Global Manosphere Research Study.md","A. Final report (independent second generation, same brief)","D3 Global manosphere","13,258","646","Adds the Inverted Iceberg framing, a twelve-dimension subcommunity comparison, the guru-arc and commercial-funnel models, and an Indonesia/SEA section with local names (Hitman System, Pria 100%, Hijrah Masculinity).","MEDIUM","Asserts a '2-5% of exposed audiences' escalation figure and several protective-factor claims without traceable sourcing. States the commercial incentive to maintain insecurity as established when S05 rates it EMERGING/WEAK.","SECONDARY; DEDUPED AGAINST S05"
"S07","Indonesian Manosphere Research Project - Deep Research Report.md","A. Final report - LOWEST RELIABILITY IN CORPUS","D4 Indonesian / SEA manosphere","10,009","327","Broad coverage of the intended question set and honest about evidence gaps in several sections.","LOW","Contains garbled or non-existent Indonesian ('banjir receh', 'HP mewek', 'Sunan awali maharim', 'CEWEK-ngan: Reseek!'), invented-sounding hashtags, and multiple unsourced assertions. Several 'findings' are the author's inference stated as observation. Treat every specific claim as unverified.","USE ONLY FOR QUESTION FRAMING; DO NOT CITE FOR FACTS"
"S08","Indonesian Manosphere Research Project.md","A. Final report (independent second generation, same brief)","D4 Indonesian / SEA manosphere","15,859","627","By far the most useful Indonesian ecosystem source: named creators and platforms, the local lexicon (bucin, mapan, melek realita, pria berkualitas, cowok lembek), the legal/religious/adat codification of provider duty, BPS-cited structural statistics, a six-country SEA comparison.","MEDIUM","Statistics are cited second-hand and must be verified against primary BPS releases before publication. Illustrative creator quotations are reconstructed, not verified transcripts. No audience-effect measurement anywhere.","PRINCIPAL SOURCE FOR DESCRIPTION; NOT FOR EFFECT CLAIMS"
"S09","Masculinity Framing Research Synthesis - Deep Research Report.md","A. Final Deep Research Report","D5 Masculinity framing","10,899","1,093","The single most methodologically disciplined document in the corpus. Systematically separates masculinity labelling, targeting, prescription and threat; insists on the negative-control question; identifies the behaviour-vs-label divergence hypothesis; contains the Indonesian null finding and the Indonesian lexical gap analysis.","HIGH","Its central conclusion is an absence of evidence, which is correct but limits directly actionable guidance.","PRINCIPAL SOURCE - HIGHEST WEIGHT"
"S10","Masculinity Framing Research Synthesis.md","A. Final report (independent second generation, same brief)","D5 Masculinity framing","10,414","623","Adds the Real Men Real Depression brochure evidence, the NZ latent profile analysis, the Haslop classroom resistance study, the Scholz vegan-framing null, the job-ad debiasing evidence, and an Indonesian lexical register table.","MEDIUM","Repeatedly states as established what S09 rates as insufficiently evidenced (e.g. that men 'frequently' support behaviours while rejecting masculinity labels). Some effect-size cells are image placeholders and therefore unreadable.","SECONDARY; ITS UNIQUE STUDIES (esp. Real Men brochure) ARE VALUABLE AND HAVE BEEN RETAINED"
"S11","Organizational Moral Communication Research - Deep Research Report.md","A. Final Deep Research Report","D6 Moralised organisational communication","10,685","584","Very high rigour. Explicitly dismantles the '30% moral density rule'. Separates moral loading, density, emotion, outrage, conviction, grandstanding and virtue-signalling attribution. Contains the petition virality/conversion dissociation.","HIGH","Almost entirely US/Western political and commercial contexts; explicitly states there is no Indonesian moral-density evidence.","PRINCIPAL SOURCE"
"S12","Organizational Moral Communication Research.md","A. Final report (independent second generation, same brief)","D6 Moralised organisational communication","11,417","549","Adds a six-level outcome hierarchy, platform-by-platform analysis, and - uniquely - Indonesian moral-communication cases (Unilever Pride 2020 backlash; MUI Fatwa 83/2023 boycotts with PLS-SEM evidence that religious authority outweighed brand image).","MEDIUM","States the '25-35% inflection point' more confidently than S11 permits. Several causal claims (e.g. Gillette's $8bn write-down) are attributed more strongly than the evidence supports. Platform tables are largely assertion.","SECONDARY; ITS INDONESIAN CASES ARE THE UNIQUE CONTRIBUTION"
"S13","Louis_Theroux_Inside_the_Manosphere_Final_Report.md","A. Final report with an explicit verification pass","D3 Global manosphere (adjacent) + intervention evidence","4,547","225","Unique in the corpus: it documents its own fact-checking, issues two explicit corrections to a prior draft, and carries a five-tier certainty hierarchy including an 'unverified' tier. Contains the anti-shaming intervention evidence and the loneliness-epidemic correction.","HIGH (for its epistemic practice)","Concerns a documentary and its reception as much as science; several reviews and figures are flagged by the report itself as unconfirmed; advocacy-organisation data is prominent and non-peer-reviewed.","PRINCIPAL SOURCE FOR INTERVENTION AND CERTAINTY-CALIBRATION EVIDENCE"
"S14","Dissertation_ Masculinity, Social Conditions, and Mental Health in Indonesia.md","A. Primary academic work (MSc dissertation, Critical Interpretive Synthesis)","D7 Indonesia masculinity, social conditions and mental health","22,638","498","The only peer-supervised primary academic study in the corpus and the only source that systematically integrates masculinity, social conditions and mental health for Indonesia. 154 studies read against 6 Indonesian studies. Authored by a member of the Menungsa team (named in the acknowledgements), supervised at the University of Edinburgh, developed with Relational Ground LLC.","HIGH (with declared positionality)","Interpretive rather than aggregative by design; only six Indonesian studies exist to read against; Javanese and Muslim-weighted, as the author states explicitly; two of the six Indonesian studies are not men-only; no primary data collected.","PRINCIPAL SOURCE - HIGHEST WEIGHT FOR INDONESIA"
