"context_id","context","psychological_job","authority_peerhood","emotional_explicitness","behavioural_explicitness","agency_collectivity","seriousness_humour","gender_marking","moral_loading","cta_pressure","certainty","register_formality","linguistic_properties","avoid","confidence"
"","","(ordinal 1-5, not interval)","1=institutional authority ... 5=peer","1=coded/indirect ... 5=named feelings/diagnoses","1=open exploration ... 5=concrete next step","1=individual agency ... 5=relational/collective","1=grave ... 5=irreverent","1=gender-unmarked ... 5=explicitly masculine-framed","1=none ... 5=high moral density","1=autonomy-preserving invitation ... 5=unambiguous instruction","1=openly uncertain ... 5=high certainty","1=formal standard Indonesian ... 5=Jakarta/internet vernacular","","",""
"C01","Mental-health psychoeducation","Reduce uncertainty and supply an accurate, usable model without inviting a diagnosis of the reader","3","3","4","2","2","1","2","2","3","3","kamu / kita as reader-inclusive; short declaratives; one named mechanism per piece; clinical term introduced AFTER an everyday description, never before it","Diagnosing the reader; stacking clinical terms; 'kamu mungkin mengalami depresi' as an opener","MODERATE (mechanism); LOW (specific wording)"
"C02","Recognition / 'I feel seen' content","Name a real difficulty accurately, without supplying a culprit and without asking for anything","4","2","1","3","2","2","1","1","4","4","Concrete situational detail over emotion words; second person or unattributed third person; no CTA at all; end on the description, not on a solution","Naming an enemy; 'kamu nggak sendirian' as the entire content; therapy-speak; monetising the recognition immediately","MODERATE (this is the manosphere's strongest transferable function)"
"C03","Emotional storytelling","Let emotion arrive through events rather than through labels; make disclosure watchable without making it a demand","4","3","2","4","2","2","2","1","3","4","First person (aku or gue depending on speaker); chronology; concrete objects and places; the emotion named late or not at all; the teller keeps his standing","Confession framing; crying as the point; making the subject an object of pity; 'berani terbuka' framing that turns disclosure into a new performance standard","PROMISING (practice convergence; no controlled test)"
"C04","Peer / community invitation","Make membership legible and the entry cost visibly low","5","2","4","5","3","2","1","2","4","4","kita once the relationship is real; explicit description of what happens in the room; explicit permission to say nothing; time, place, cost stated","'Brotherhood' as an assertion; kita before there is a we; open-ended 'join our community' with no description of the actual experience","MODERATE (belonging is the best cross-domain mechanism)"
"C05","Support-group promotion","Remove every unknown before asking anyone to walk in","4","2","5","5","2","3","1","2","5","3","Logistics as content: who is there, how many, how long, what you must say (nothing), who can see you, what it costs; 'boleh diam' stated explicitly","Emotional appeals in place of logistics; implying that attendance requires disclosure; unstated cost or location","PROMISING (maps directly onto the response-cost mechanism)"
"C06","Help-seeking encouragement","Convert an abstract ought into one small, available, reversible act","3","3","5","3","2","2","2","2","4","3","One step only; the step must be verifiable and actually available; 'bisa' not 'harus'; name the friction honestly (queue, cost, JKN)","'Cari bantuan sekarang' with no working pathway; 'jangan gengsi' (shame); implying failure to seek help is a character defect","MODERATE (autonomy evidence is strong; pathway is the binding constraint)"
"C07","Suicide-prevention / high-risk content","Unambiguous, clinically accurate instruction; emotional intensity is a risk, not a goal","2","4","5","3","1","1","1","4","5","2","Plain, direct, unhedged; the word is used, not euphemised; numbers and steps; safe-messaging conventions; no humour, no metaphor, no ambiguity","Humour; euphemism; metaphor; open-ended invitation; autonomy-preserving hedging; any framing that requires interpretation","MODERATE (safe-messaging practice); the corpus shows male-targeted suicide interventions have NOT demonstrated clinical effect - be humble"
"C08","Myth correction","Replace a false certainty with an honest structure, not with a counter-slogan","2","2","3","2","3","2","2","1","3","3","State the real premise before correcting it; concede what is true; calibrated language ('sebagian', 'rata-rata', 'kita belum tahu'); never mock the believer","Ridicule; 'sebenarnya kamu salah'; replacing one totalising claim with another; correcting without conceding the true part","MODERATE-STRONG (ridicule backfire evidence is direct)"
"C09","Social commentary","Describe a condition without assigning collective blame to the audience","3","2","2","4","3","2","3","1","3","3","Structural subject, not personal subject ('biaya', 'jam kerja', 'antrean' rather than 'laki-laki Indonesia'); acknowledge complexity; no verdict on the reader","'Laki-laki Indonesia harus...'; collective indictment; out-group construction; grievance amplification","MODERATE (collective-indictment backfire is documented)"
"C10","Advocacy / moral communication","Moral meaning present, moral concentration low, and a concrete organisational commitment attached","2","2","4","4","1","1","4","3","4","2","Moral claim once, surrounded by facts and a specific commitment the organisation itself is making; name what Menungsa is doing, not what men should do","Abstract values language; high imperative density; positioning the audience as the problem; moral claims with nothing costly attached","MODERATE-STRONG (authenticity and saturation evidence converge)"
"C11","Humour / light content","Lower institutional distance and make the account approachable","5","1","2","3","5","2","1","1","3","5","Self-deprecating about the organisation, never about the audience's distress; observational; short; local reference points","Jokes at the expense of help-seeking, women, or any out-group; humour attached to acute risk; manufactured slang the account has not earned","MIXED (good entry evidence, no persuasion evidence)"
"C12","Success / recovery stories","Show that the path is walkable without implying that not walking it is failure","4","3","3","4","2","2","2","2","3","4","Ordinary, unspectacular outcomes; setbacks retained in the story; the person keeps his standing; specific mechanism named ('yang bantu itu X')","Transformation arcs; before/after framing; 'kalau dia bisa, kamu juga bisa'; erasing the relapse","PROMISING (the manosphere's guru arc is the anti-pattern to avoid)"
